,Name,Team,Age,Pos1,Pos2,Pos3,Tackles,Interceptions,Fouls,Offsides Won,Clearances,Dribbled Past,Blocks,Goals,Assists,Shots,Key Passes,Dribbles,Fouled,Offsides,Dispossessed,Bad Controls,Passes,Pass Accuracy,Crosses,Long Balls,Through Balls
785,Rickie Lambert,West Brom,34,ST,NA,NA,0,0,0.3,0,0.1875,0.285714286,0,0.344827586,0.5,0.777777778,0.857142857,0,0.4,0.5,0.75,1,0.436363636,0.892529489,0,0.130434783,2.5
786,Rolando,Marseille,30,CB,NA,NA,0.928571429,2.214285714,0.8,6,2.3125,0.857142857,2.5,0.344827586,0,0.444444444,0.142857143,0.285714286,0.8,0,0.125,0.111111111,1.457575758,1.144167759,0,1.739130435,2.5
787,Santiago Gentiletti,Lazio,31,CB,NA,NA,1.714285714,2.857142857,1.9,3,1.5625,1,3.5,0,0,0.555555556,0.285714286,0.714285714,0.5,0.5,0.25,0.444444444,1.751515152,1.119266055,0,2.217391304,0
788,Sergio Pellissier,Chievo,37,ST,NA,NA,0.142857143,0.071428571,0.5,0,0.125,0.571428571,0,1.724137931,0,1.333333333,1,0.142857143,1.3,4.5,0.75,1.444444444,0.324242424,0.942332896,0,0.086956522,0
789,Simone Zaza,Juventus,25,ST,NA,NA,0.214285714,0.214285714,1.4,0.5,0.125,0.428571429,0.5,1.724137931,0,1.777777778,0.428571429,0.571428571,0.6,3.5,0.875,1.444444444,0.263636364,0.994757536,0.333333333,0.086956522,2.5
790,Steeve Yago,Toulouse,23,CB,RB,NA,1.857142857,1.714285714,1.1,2,1.625,0.428571429,2,0,0,0.111111111,0.285714286,0.428571429,0.8,0,0.5,0.444444444,0.790909091,1.061598952,0.333333333,0.52173913,0
791,Stefano Sturaro,Juventus,23,CM,NA,NA,1.142857143,0.571428571,1.6,0,0.25,2.142857143,0.5,0.344827586,0,0.555555556,0.857142857,0.857142857,1.1,0,1,0.777777778,0.724242424,1.01965924,1,0.304347826,0
792,Sven Bender,Borussia Dortmund,27,CB,CM,NA,1.285714286,1.714285714,0.6,3,2,0.857142857,2,0,0,0.222222222,0.571428571,0.571428571,0.4,0,0.5,0.222222222,1.836363636,1.19266055,0,0.869565217,0
793,Tiemoue Bakayoko,Monaco,21,CDM,NA,NA,2,1.714285714,1.8,0,0.6875,1.571428571,0.5,0.344827586,0,0.888888889,0.428571429,2.142857143,1.1,0,2.375,1.222222222,1.145454545,1.138925295,0,0.695652174,0
794,Martin Harnik,Stuttgart,29,LM,RM,ST,0.5,0.714285714,1.1,0.5,0.4375,1.285714286,0.5,0.689655172,0,1.888888889,0.714285714,1,0.5,1,0.625,1.888888889,0.527272727,0.885976409,0.333333333,0.217391304,0
795,Mathieu Bodmer,Nice,33,CB,CM,NA,1.285714286,1.214285714,1.3,2.5,1.75,0.714285714,1.5,0.344827586,0.5,0.222222222,0.857142857,0.285714286,0.6,1,0.5,0.555555556,1.454545455,1.098296199,0,1,0
796,Matthew Jarvis,Norwich,30,LM,RM,NA,0.357142857,0.214285714,0.2,0,0.125,0.428571429,0.5,0.344827586,0.5,0.555555556,1.285714286,0.428571429,0.4,0.5,0.625,0.888888889,0.393939394,1.01310616,3,0.217391304,0
797,Max Christiansen,Ingolstadt,19,CM,NA,NA,1.071428571,0.928571429,1.4,0,0.4375,1,0,0,0.5,1,0.714285714,0.285714286,1.2,0,0.875,1.222222222,0.678787879,0.929226737,1,0.434782609,0
798,Mikel Gonzalez,Real Sociedad,30,CB,NA,NA,0.928571429,2,0.9,5,2.875,1,3.5,0,0,0.333333333,0.142857143,0.428571429,0.2,0,0.125,0.444444444,0.866666667,1.028833552,0.333333333,0.869565217,0
799,Mohamed Yattara,Angers,22,ST,NA,NA,0.785714286,0.142857143,1.3,0.5,0.0625,0.571428571,0,0.689655172,1,1.111111111,0.428571429,1,0.8,2.5,1.75,2.111111111,0.424242424,0.867627785,0,0,2.5
800,Nicolas Benezet,Guingamp,25,CAM,LW,RW,1.285714286,1.071428571,0.8,0,0.0625,1.142857143,0,1.379310345,2,1.333333333,2.714285714,2.142857143,2.1,1,1.875,1.888888889,0.639393939,0.9672346,6,0.434782609,2.5
801,Nicolas Frey,Chievo,32,CB,LB,RB,1.142857143,1,0.8,0.5,2.625,0.857142857,3,0,0,0.111111111,0.285714286,0.285714286,0.4,0,0.125,0.333333333,0.951515152,0.969855832,1,0.956521739,0
802,Omer Toprak,Bayer Leverkusen,26,CB,NA,NA,1.357142857,1.714285714,1.1,2.5,2.4375,0.857142857,3.5,0.344827586,0,0.666666667,0.428571429,0.428571429,0.6,0.5,0.25,0.444444444,1.178787879,0.998689384,0,1.608695652,2.5
803,Pawel Olkowski,Cologne,26,RB,NA,NA,0.857142857,1,0.5,0,1.0625,0.857142857,1,0,0,0.444444444,0.142857143,0.714285714,0.7,0,0.375,0.333333333,0.657575758,0.916120577,0.333333333,0.173913043,0
804,Juan Jesus,Inter Milan,25,CB,LB,NA,1.357142857,1,1.5,3,1.3125,1.428571429,3,0,0,0.222222222,0.714285714,0.857142857,0.5,0.5,0.5,0.222222222,1.336363636,1.089121887,1,0.826086957,0
805,Kevin Berigaud,Montpellier,28,ST,LM,RM,0.5,0.285714286,0.4,0,0.0625,0.428571429,0.5,1.034482759,0.5,1.222222222,0.857142857,0.571428571,0.7,1,1.5,1.666666667,0.521212121,0.99344692,1,0.043478261,0
806,Lacina Traore,Monaco,26,ST,NA,NA,0.285714286,0.142857143,1.7,0,0.3125,0.285714286,0,1.034482759,0.5,1,0.714285714,0.571428571,0.8,2.5,2.125,2.111111111,0.3,0.72870249,0.333333333,0.130434783,2.5
807,Lorenzo Pellegrini,Sassuolo,20,CM,NA,NA,1.071428571,1.071428571,1.6,0,0.375,0.857142857,0,1.034482759,0,1.333333333,1.142857143,0.857142857,1.3,0,1.125,1.222222222,0.942424242,1.022280472,0.666666667,0.652173913,0
808,Luc Castaignos,Eintracht Frankfurt,23,ST,NA,NA,0.285714286,0.214285714,1.7,0,0.0625,0.285714286,0,1.379310345,0.5,1,0.714285714,1,0.8,5,1.125,0.888888889,0.312121212,0.916120577,0,0.086956522,0
809,Luciano Vietto,Atletico Madrid,22,ST,NA,NA,0.5,0.142857143,0.7,0,0.0625,0.714285714,0.5,0.344827586,1.5,1.444444444,1,0.857142857,1.2,3.5,1.625,2.333333333,0.581818182,1.044560944,0.333333333,0.173913043,2.5
810,Ludovic Butelle,Angers,33,GK,NA,NA,0,0.071428571,0,0,0.375,0.142857143,0,0,0,0,0,0,0.2,0,0,0.111111111,0.721212121,0.716906946,0,3.913043478,0
811,Marcelo,Hannover,29,CB,NA,NA,1,1.071428571,1.3,4.5,3.4375,0.285714286,3,0.344827586,0,0.444444444,0.285714286,0.142857143,0.3,0,0.125,0.444444444,1.542424242,1.028833552,0,1.956521739,0
812,Marco Crimi,Carpi,26,CM,NA,NA,1.928571429,1.214285714,2.1,0,0.25,2,1.5,0,0.5,0.444444444,0.714285714,0.571428571,1.6,0.5,1.125,0.555555556,0.506060606,0.897771953,1.333333333,0.52173913,2.5
813,Marco Zambelli,Empoli,30,RB,NA,NA,0.785714286,1.285714286,0.7,1.5,1.1875,0.428571429,0.5,0,0,0,0.285714286,1,0.7,0,0.875,0.777777778,0.975757576,1.087811271,0.666666667,0.652173913,0
814,Halil Altintop,Augsburg,33,CAM,ST,NA,0.785714286,0.214285714,0.6,0,0.1875,0.571428571,0,0.344827586,1,0.777777778,1.142857143,0.857142857,0.9,1,1.5,1.444444444,0.6,1.028833552,0.333333333,0.47826087,2.5
815,James Collins,West Ham,32,CB,NA,NA,0.714285714,0.714285714,0.6,4,4.9375,0.714285714,6,0,0,0.777777778,0.142857143,0.285714286,0.4,0.5,0.125,0.111111111,0.915151515,0.990825688,0,1.260869565,0
816,Javi Marquez,Granada,30,CM,NA,NA,1.214285714,1,1.4,0,0.5625,2.285714286,1,0,0.5,1.222222222,0.857142857,0.285714286,1.5,0.5,1.5,0.777777778,0.954545455,0.937090433,0.333333333,1.434782609,0
817,Jerome Boateng,Bayern Munich,27,CB,NA,NA,0.5,1.142857143,0.5,4,1.375,0.428571429,1,0,1.5,0.444444444,1,0.285714286,0.2,0,0.125,0.333333333,2.072727273,1.133682831,0.666666667,3.130434783,2.5
818,Suso,Genoa,22,ST,NA,NA,0.285714286,0.214285714,0.5,0,0.0625,0.857142857,0,2.068965517,0.5,2.111111111,2.428571429,2,1.6,1,1.875,1,0.872727273,1.040629096,4.666666667,0.391304348,0
819,Joe Allen,Liverpool,26,CM,NA,NA,1.071428571,0.5,0.7,0.5,0.25,1,0.5,0.689655172,0.5,0.666666667,0.857142857,0.571428571,1.1,0,0.875,0.555555556,0.651515152,1.102228047,0.333333333,0.434782609,2.5
820,Joe Ledley,Crystal Palace,29,CM,LM,NA,0.571428571,1.214285714,0.6,0,0.875,1.142857143,2.5,0.344827586,0,0.444444444,0.285714286,0.142857143,0.2,0,0.125,0.555555556,0.636363636,1.047182176,0,0.304347826,0
821,Joel Campbell,Arsenal,24,RW,ST,NA,1,0.357142857,0.5,0.5,0.125,1.571428571,1,1.034482759,1,1.111111111,1,1.285714286,1.3,1,0.875,1.555555556,0.545454545,1.031454784,0.333333333,0.130434783,2.5
822,Johny Placide,Reims,28,GK,NA,NA,0,0.142857143,0,0,0.5,0.142857143,0,0,0,0,0.142857143,0,0.2,0,0,0.111111111,0.781818182,0.680209699,0,3.47826087,0
823,Juankar,Malaga,26,LB,LM,NA,0.785714286,1,1,0.5,0.8125,0.714285714,0.5,0.344827586,1,0.888888889,1.142857143,0.857142857,1.1,1,1,1,0.696969697,0.998689384,1.333333333,0.173913043,0
824,Eder,Sampdoria,29,ST,CAM,NA,0.714285714,0.428571429,1.3,0,0.0625,0.571428571,0,4.137931034,1,3.111111111,1.142857143,1.571428571,1.6,4.5,1.375,2.444444444,0.754545455,1.05897772,1.666666667,0.347826087,2.5
825,Enner Valencia,West Ham,26,LW,ST,NA,0.785714286,0.357142857,0.6,0,0.5,0.857142857,0.5,1.379310345,1,2,0.857142857,1.142857143,1.2,2.5,1.75,2.111111111,0.4,0.990825688,1,0.043478261,0
826,Federico Viviani,Verona,24,CDM,NA,NA,2.142857143,1.642857143,1.6,0,0.375,1.571428571,1,1.034482759,3,1.777777778,3.285714286,0.714285714,1.5,0,0.75,0.666666667,1.706060606,1.060288336,6.333333333,3.52173913,2.5
827,Florian Jungwirth,Darmstadt,27,RB,NA,NA,2.071428571,2.5,0.9,0.5,1.6875,1.428571429,1.5,0,0.5,0.444444444,0.428571429,0.142857143,1,0,0.25,0.444444444,0.512121212,0.802096986,1,0.52173913,0
